Column/Variable,Data Type,# of Nulls,Percent Null
OBJECTID,int64,0,0.0
Shape,object,0,0.0
Join_Count,int64,0,0.0
TARGET_FID,int64,0,0.0
JOIN_FID,int64,0,0.0
FullName,object,1357,1.0
Type,object,0,0.0
Elevation,object,0,0.0
Surface,object,0,0.0
Status,object,0,0.0
DrivingDir,object,0,0.0
From_L,float64,10409,6.0
From_R,float64,10784,6.0
To_L,float64,10399,6.0
To_R,float64,10773,6.0
Parity_L,object,1613,1.0
Parity_R,object,1560,1.0
StPreDir,object,83241,45.0
StPreMod,object,183359,100.0
StPreType,object,181395,99.0
StArticle,object,179744,98.0
StName,object,1357,1.0
StPostType,object,6189,3.0
StPostDir,object,182999,100.0
StPostMod,float64,183362,100.0
Zip_L,float64,264,0.0
Zip_R,float64,211,0.0
LCity_L,object,8,0.0
LCity_R,object,21,0.0
NameCat_L,object,1613,1.0
NameCat_R,object,1560,1.0
Accuracy,float64,0,0.0
Jurisdiction,object,28,0.0
Source,object,0,0.0
SourceID,object,0,0.0
UpdateDate,object,0,0.0
MSAG_LCity,object,182517,100.0
MSAG_RCity,object,182517,100.0
MSAG_LESN,float64,182517,100.0
MSAG_RESN,float64,182517,100.0
Crime_Cost,float64,0,0.0
StreetOID,int64,0,0.0
Field1,float64,0,0.0
DR_NO,float64,0,0.0
Date_Rptd,object,0,0.0
DATE_OCC,object,0,0.0
TIME_OCC,float64,0,0.0
AREA,float64,0,0.0
AREA_NAME,object,0,0.0
Rpt_Dist_No,float64,0,0.0
Part_1_2,float64,0,0.0
Crm_Cd,float64,0,0.0
Crm_Cd_Desc,object,0,0.0
Mocodes,object,219,0.0
Vict_Age,float64,0,0.0
Vict_Sex,object,167,0.0
Vict_Descent,object,171,0.0
Premis_Cd,float64,0,0.0
Premis_Desc,object,0,0.0
Weapon_Used_Cd,float64,3274,2.0
Weapon_Desc,object,3274,2.0
Status_1,object,0,0.0
Status_Desc,object,0,0.0
Crm_Cd_1,float64,0,0.0
Crm_Cd_2,float64,153317,84.0
Crm_Cd_3,float64,182150,99.0
Crm_Cd_4,float64,183332,100.0
LOCATION,object,0,0.0
Cross_Street,object,74575,41.0
LAT,float64,0,0.0
LON,float64,0,0.0
Shape_Length,float64,0,0.0
